id,name,full name,country,birth,height,weight,foot,team,jersey,league,formation,value,wage,position,continent,age
181458,I. Perišić,Ivan Perišić,Croatia,1989-02-02,185,79,Left,FC Bayern München,14,Bundesliga,LM LW,24500000.0,120000.0,Midfielder,Europe,31
209889,R. Guerreiro,Raphaël Adelino José Guerreiro,Portugal,1993-12-22,170,71,Left,Borussia Dortmund,13,Bundesliga,LM LB CM,31000000.0,94000.0,Midfielder,Europe,26
203486,T. Hazard,Thorgan Hazard,Belgium,1993-03-29,175,71,Right,Borussia Dortmund,23,Bundesliga,LM RM CF,28000000.0,98000.0,Midfielder,Europe,27
190941,L. Hrádecký,Lukáš Hrádecký,Finland,1989-11-24,193,82,Right,Bayer 04 Leverkusen,1,Bundesliga,GK,18500000.0,67000.0,Goalkepper,Europe,30
199042,C. Aránguiz,Charles Mariano Aránguiz Sandoval,Chile,1989-04-17,170,69,Right,Bayer 04 Leverkusen,20,Bundesliga,CM CDM,24000000.0,86000.0,Midfielder,South America,31
192984,K. Casteels,Koen Casteels,Belgium,1992-06-25,198,86,Left,VfL Wolfsburg,1,Bundesliga,GK,22000000.0,50000.0,Goalkepper,Europe,28
188943,K. Trapp,Kevin Trapp,Germany,1990-07-08,187,86,Right,Eintracht Frankfurt,1,Bundesliga,GK,19000000.0,42000.0,Goalkepper,Europe,30
208574,F. Kostić,Filip Kostić,Serbia,1992-11-01,182,82,Left,Eintracht Frankfurt,10,Bundesliga,LM LWB,28000000.0,54000.0,Midfielder,Europe,27
216354,A. Kramarić,Andrej Kramarić,Croatia,1991-06-19,177,73,Right,TSG 1899 Hoffenheim,27,Bundesliga,ST CAM,27000000.0,61000.0,Attacker,Europe,29
204923,M. Sabitzer,Marcel Sabitzer,Austria,1994-03-17,177,76,Right,RB Leipzig,7,Bundesliga,CAM CM,31500000.0,70000.0,Midfielder,Europe,26
219683,C. Tolisso,Corentin Tolisso,France,1994-08-03,180,81,Right,FC Bayern München,24,Bundesliga,CM CDM,27500000.0,98000.0,Midfielder,Europe,26
177610,Javi Martínez,Javier Martínez Aginaga,Spain,1988-09-02,193,86,Right,FC Bayern München,8,Bundesliga,CDM CB,18500000.0,100000.0,Midfielder,Europe,32
235212,A. Hakimi,Achraf Hakimi Mouh,Morocco,1998-11-04,180,73,Right,Borussia Dortmund,5,Bundesliga,RM RB LB,30000000.0,66000.0,Midfielder,Africa,21
208333,E. Can,Emre Can,Germany,1994-01-12,182,82,Right,Borussia Dortmund,27,Bundesliga,CM CDM,27500000.0,86000.0,Midfielder,Europe,26
193283,T. Delaney,Thomas Delaney,Denmark,1991-09-03,182,78,Left,Borussia Dortmund,6,Bundesliga,CDM CM,23000000.0,82000.0,Midfielder,Europe,29
207862,M. Ginter,Matthias Ginter,Germany,1994-01-19,190,86,Right,Borussia Mönchengladbach,28,Bundesliga,CB,23500000.0,36000.0,Defender,Europe,26
229261,D. Zakaria,Denis Lemi Zakaria Lako Lado,Switzerland,1996-11-20,190,79,Right,Borussia Mönchengladbach,8,Bundesliga,CDM CB CM,26000000.0,32000.0,Midfielder,Europe,23
202857,K. Bellarabi,Karim Bellarabi,Germany,1990-04-08,182,81,Right,Bayer 04 Leverkusen,38,Bundesliga,RM,21500000.0,82000.0,Midfielder,Europe,30
200610,K. Volland,Kevin Volland,Germany,1992-07-30,177,83,Left,Bayer 04 Leverkusen,31,Bundesliga,ST RW LW,24500000.0,85000.0,Attacker,Europe,28
236583,J. Pavlenka,Jiří Pavlenka,Czech Republic,1992-04-14,195,81,Right,SV Werder Bremen,1,Bundesliga,GK,18000000.0,31000.0,Goalkepper,Europe,28
193698,O. Baumann,Oliver Baumann,Germany,1990-06-02,187,82,Right,TSG 1899 Hoffenheim,1,Bundesliga,GK,18000000.0,39000.0,Goalkepper,Europe,30
183907,J. Boateng,Jérôme Boateng,Germany,1988-09-03,193,89,Right,FC Bayern München,17,Bundesliga,CB,14500000.0,94000.0,Defender,Europe,32
213331,J. Tah,Jonathan Tah,Germany,1996-02-11,195,97,Right,Bayer 04 Leverkusen,4,Bundesliga,CB,21500000.0,57000.0,Defender,Europe,24
177458,S. Bender,Sven Bender,Germany,1989-04-27,185,81,Right,Bayer 04 Leverkusen,5,Bundesliga,CB CDM,14500000.0,66000.0,Defender,Europe,31
211748,K. Demirbay,Kerem Demirbay,Germany,1993-07-03,182,73,Left,Bayer 04 Leverkusen,10,Bundesliga,CM,22000000.0,69000.0,Midfielder,Europe,27
177457,L. Bender,Lars Bender,Germany,1989-04-27,185,78,Right,Bayer 04 Leverkusen,8,Bundesliga,RB CDM CM,14000000.0,66000.0,Defender,Europe,31
229906,L. Bailey,Leon Bailey Butler,Jamaica,1997-08-09,177,78,Left,Bayer 04 Leverkusen,9,Bundesliga,LM RM,25000000.0,54000.0,Midfielder,North America,23
104389,R. Jarstein,Rune Almenning Jarstein,Norway,1984-09-29,190,86,Right,Hertha BSC,22,Bundesliga,GK,8000000.0,28000.0,Goalkepper,Europe,35
202562,J. Roussillon,Jérôme Roussillon,France,1993-01-06,175,79,Left,VfL Wolfsburg,15,Bundesliga,LB LM,18000000.0,52000.0,Defender,Europe,27
223689,W. Weghorst,Wout Weghorst,Netherlands,1992-08-07,198,83,Right,VfL Wolfsburg,9,Bundesliga,ST,19500000.0,62000.0,Attacker,Europe,28
201922,M. Hinteregger,Martin Hinteregger,Austria,1992-09-07,182,83,Left,Eintracht Frankfurt,13,Bundesliga,CB,19000000.0,42000.0,Defender,Europe,28
222331,L. Klostermann,Lukas Klostermann,Germany,1996-06-03,187,87,Right,RB Leipzig,16,Bundesliga,RB LB RWB,20500000.0,49000.0,Defender,Europe,24
210665,M. Halstenberg,Marcel Halstenberg,Germany,1991-09-27,187,87,Left,RB Leipzig,23,Bundesliga,LB LWB,16000000.0,57000.0,Defender,Europe,28
208448,E. Forsberg,Emil Forsberg,Sweden,1991-10-23,177,76,Right,RB Leipzig,10,Bundesliga,CAM LM,18500000.0,62000.0,Midfielder,Europe,28
195365,K. Kampl,Kevin Kampl,Slovenia,1990-10-09,177,66,Right,RB Leipzig,44,Bundesliga,CM CDM CAM,17500000.0,65000.0,Midfielder,Europe,29
226851,B. Pavard,Benjamin Pavard,France,1996-03-28,185,76,Right,FC Bayern München,5,Bundesliga,RB CB,17500000.0,76000.0,Defender,Europe,24
173771,L. Piszczek,Łukasz Piszczek,Poland,1985-06-03,182,78,Right,Borussia Dortmund,26,Bundesliga,RB CB,5000000.0,71000.0,Defender,Europe,35
239085,E. Haaland,Erling Braut Haaland,Norway,2000-07-21,193,87,Left,Borussia Dortmund,17,Bundesliga,ST,22500000.0,34000.0,Attacker,Europe,20
192318,M. Götze,Mario Götze,Germany,1992-06-03,175,74,Right,Borussia Dortmund,10,Bundesliga,CF CAM CM,16000000.0,84000.0,Attacker,Europe,28
228093,M. Thuram,Marcus Thuram,France,1997-08-06,193,87,Right,Borussia Mönchengladbach,10,Bundesliga,ST LW,20000000.0,30000.0,Attacker,Europe,23
187072,L. Stindl,Lars Stindl,Germany,1988-08-26,180,79,Right,Borussia Mönchengladbach,13,Bundesliga,CF CAM,14500000.0,39000.0,Attacker,Europe,32
206467,A. Plea,Alassane Plea,France,1993-03-10,180,78,Right,Borussia Mönchengladbach,14,Bundesliga,ST LW,17500000.0,39000.0,Attacker,Europe,27
200316,T. Horn,Timo Horn,Germany,1993-05-12,193,89,Left,1. FC Köln,1,Bundesliga,GK,13000000.0,26000.0,Goalkepper,Europe,27
205362,M. Nastasić,Matija Nastasić,Serbia,1993-03-28,187,83,Left,FC Schalke 04,5,Bundesliga,CB,16000000.0,36000.0,Defender,Europe,27
201956,S. Sané,Salif Sané,Senegal,1990-08-25,195,84,Right,FC Schalke 04,26,Bundesliga,CB CDM,13000000.0,37000.0,Defender,Africa,30
229167,M. Rashica,Milot Rashica,Kosovo,1996-06-28,177,73,Right,SV Werder Bremen,7,Bundesliga,CF LW RW,20500000.0,34000.0,Attacker,Europe,24
198118,J. Guilavogui,Josuha Guilavogui,France,1990-09-19,187,77,Right,VfL Wolfsburg,23,Bundesliga,CDM CM CB,13000000.0,51000.0,Midfielder,Europe,29
189068,B. Dost,Bas Dost,Netherlands,1989-05-31,195,88,Right,Eintracht Frankfurt,9,Bundesliga,ST,14500000.0,46000.0,Attacker,Europe,31
208498,M. Dabbur,Moanes Dabour,Israel,1992-05-14,182,76,Right,TSG 1899 Hoffenheim,10,Bundesliga,ST,16000000.0,46000.0,Attacker,Asia,28
229558,D. Upamecano,Dayotchanculle Upamecano,France,1998-10-27,185,89,Right,RB Leipzig,5,Bundesliga,CB,21000000.0,38000.0,Defender,Europe,21
225375,K. Laimer,Konrad Laimer,Austria,1997-05-27,180,72,Right,RB Leipzig,27,Bundesliga,CDM CM RB,18000000.0,46000.0,Midfielder,Europe,23
232411,C. Nkunku,Christopher Nkunku,France,1997-11-14,177,72,Right,RB Leipzig,18,Bundesliga,CAM ST CM,20500000.0,43000.0,Midfielder,Europe,22
207791,Y. Poulsen,Yussuf Yurary Poulsen,Denmark,1994-06-15,193,83,Right,RB Leipzig,9,Bundesliga,ST,18500000.0,60000.0,Attacker,Europe,26
244260,Dani Olmo,Daniel Olmo Carvajal,Spain,1998-05-07,177,68,Right,RB Leipzig,25,Bundesliga,CAM LM RM,23000000.0,43000.0,Midfielder,Europe,22
204638,W. Orban,Vilmos Tamás Orban,Hungary,1992-11-03,185,87,Right,RB Leipzig,4,Bundesliga,CB,16000000.0,53000.0,Defender,Europe,27
234035,Odriozola,Álvaro Odriozola Arzalluz,Spain,1995-12-14,175,66,Right,FC Bayern München,2,Bundesliga,RB,15000000.0,72000.0,Defender,Europe,24
186569,S. Ulreich,Sven Ulreich,Germany,1988-08-03,193,87,Right,FC Bayern München,26,Bundesliga,GK,8500000.0,68000.0,Goalkepper,Europe,32
238476,D. Zagadou,Dan-Axel Zagadou,France,1999-06-03,195,89,Left,Borussia Dortmund,2,Bundesliga,CB,16000000.0,48000.0,Defender,Europe,21
200536,N. Schulz,Nico Schulz,Germany,1993-04-01,180,83,Left,Borussia Dortmund,14,Bundesliga,LB LM LWB,13000000.0,67000.0,Defender,Europe,27
229237,M. Akanji,Manuel Obafemi Akanji,Switzerland,1995-07-19,187,91,Right,Borussia Dortmund,16,Bundesliga,CB,15500000.0,57000.0,Defender,Europe,25
223724,S. Lainer,Stefan Lainer,Austria,1992-08-27,175,69,Right,Borussia Mönchengladbach,18,Bundesliga,RB,13000000.0,31000.0,Defender,Europe,28
221491,N. Elvedi,Nico Elvedi,Switzerland,1996-09-30,187,78,Right,Borussia Mönchengladbach,30,Bundesliga,CB RB,15000000.0,26000.0,Defender,Europe,23
198077,P. Herrmann,Patrick Herrmann,Germany,1991-02-12,177,69,Right,Borussia Mönchengladbach,7,Bundesliga,RW RM CF,12500000.0,38000.0,Attacker,Europe,29
204024,C. Kramer,Christoph Kramer,Germany,1991-02-19,190,76,Right,Borussia Mönchengladbach,6,Bundesliga,CDM CM,11000000.0,32000.0,Midfielder,Europe,29
215353,L. Alario,Lucas Nicolás Alario,Argentina,1992-10-08,182,78,Right,Bayer 04 Leverkusen,13,Bundesliga,ST,15000000.0,70000.0,Attacker,South America,27
225309,N. Amiri,Nadiem Amiri,Germany,1996-10-27,180,73,Right,Bayer 04 Leverkusen,11,Bundesliga,CAM CM,17500000.0,56000.0,Midfielder,Europe,23
232097,A. Harit,Amine Harit,Morocco,1997-06-18,180,67,Right,FC Schalke 04,25,Bundesliga,CAM CM LM,17500000.0,32000.0,Midfielder,Africa,23
208620,Omar Mascarell,Omar Mascarell González,Spain,1993-02-02,180,76,Right,FC Schalke 04,6,Bundesliga,CDM CM,13500000.0,34000.0,Midfielder,Europe,27
192641,K. Vogt,Kevin Vogt,Germany,1991-09-23,193,84,Right,SV Werder Bremen,3,Bundesliga,CB,11500000.0,31000.0,Defender,Europe,28
223113,K. Piątek,Krzysztof Piątek,Poland,1995-07-01,182,77,Right,Hertha BSC,7,Bundesliga,ST,17000000.0,32000.0,Attacker,Europe,25
206511,M. Arnold,Maximilian Arnold,Germany,1994-05-27,182,73,Left,VfL Wolfsburg,27,Bundesliga,CM CDM CAM,15500000.0,48000.0,Midfielder,Europe,26
203605,P. Kadeřábek,Pavel Kadeřábek,Czech Republic,1992-04-25,182,81,Right,TSG 1899 Hoffenheim,3,Bundesliga,RWB RB RM,11000000.0,37000.0,Defender,Europe,28
189433,B. Hübner,Benjamin Hübner,Germany,1989-07-04,193,86,Left,TSG 1899 Hoffenheim,21,Bundesliga,CB,10500000.0,39000.0,Defender,Europe,31
228336,F. Grillitsch,Florian Grillitsch,Austria,1995-08-07,187,77,Right,TSG 1899 Hoffenheim,11,Bundesliga,CM CDM,16000000.0,35000.0,Midfielder,Europe,25
237678,I. Konaté,Ibrahima Konaté,France,1999-05-25,193,94,Right,RB Leipzig,6,Bundesliga,CB,18000000.0,36000.0,Defender,Europe,21
190243,M. Hitz,Marwin Hitz,Switzerland,1987-09-18,193,88,Right,Borussia Dortmund,35,Bundesliga,GK,6500000.0,49000.0,Goalkepper,Europe,32
234943,F. Neuhaus,Florian Neuhaus,Germany,1997-03-16,182,73,Right,Borussia Mönchengladbach,32,Bundesliga,CM CAM,15000000.0,27000.0,Midfielder,Europe,23
210324,J. Hofmann,Jonas Hofmann,Germany,1992-07-14,175,69,Right,Borussia Mönchengladbach,23,Bundesliga,CAM CM RM,12000000.0,31000.0,Midfielder,Europe,28
202789,A. Schwolow,Alexander Schwolow,Germany,1992-06-02,190,83,Right,SC Freiburg,1,Bundesliga,GK,8500000.0,21000.0,Goalkepper,Europe,28
225126,E. Skhiri,Ellyes Skhiri,Tunisia,1995-05-10,185,73,Right,1. FC Köln,28,Bundesliga,CDM CM,12000000.0,24000.0,Midfielder,Africa,25
208334,J. Hector,Jonas Hector,Germany,1990-05-27,185,74,Left,1. FC Köln,14,Bundesliga,LB CDM,8500000.0,29000.0,Defender,Europe,30
210287,J. Córdoba,Jhon Andrés Córdoba Copete,Colombia,1993-05-11,187,84,Right,1. FC Köln,15,Bundesliga,ST,12500000.0,33000.0,Attacker,South America,27
241852,M. Diaby,Moussa Diaby,France,1999-07-07,170,67,Left,Bayer 04 Leverkusen,19,Bundesliga,LM,15500000.0,33000.0,Midfielder,Europe,21
231521,E. Palacios,Exequiel Alejandro Palacios,Argentina,1998-10-05,177,69,Right,Bayer 04 Leverkusen,25,Bundesliga,CM RM CAM,16500000.0,43000.0,Midfielder,South America,21
189606,J. Baumgartlinger,Julian Baumgartlinger,Austria,1988-01-02,182,83,Right,Bayer 04 Leverkusen,15,Bundesliga,CDM,8000000.0,53000.0,Midfielder,Europe,32
230065,S. Serdar,Suat Serdar,Germany,1997-04-11,182,74,Right,FC Schalke 04,8,Bundesliga,CM CDM CAM,14000000.0,29000.0,Midfielder,Europe,23
197083,D. Caligiuri,Daniel Caligiuri,Italy,1988-01-15,182,79,Right,FC Schalke 04,18,Bundesliga,RM RWB RB,9000000.0,33000.0,Midfielder,Europe,32
198200,B. Stambouli,Benjamin Stambouli,France,1990-08-13,180,82,Right,FC Schalke 04,17,Bundesliga,CB CDM,9000000.0,32000.0,Defender,Europe,30
185239,O. Toprak,Ömer Toprak,Turkey,1989-07-21,185,83,Right,SV Werder Bremen,21,Bundesliga,CB,8500000.0,29000.0,Defender,Asia,31
226168,M. Eggestein,Maximilian Eggestein,Germany,1996-12-08,180,74,Right,SV Werder Bremen,35,Bundesliga,CM CAM CDM,14500000.0,27000.0,Midfielder,Europe,23
203483,D. Klaassen,Davy Klaassen,Netherlands,1993-02-21,177,69,Right,SV Werder Bremen,30,Bundesliga,CM CAM,12000000.0,31000.0,Midfielder,Europe,27
212977,N. Stark,Niklas Stark,Germany,1995-04-14,190,87,Right,Hertha BSC,5,Bundesliga,CB CDM,12500000.0,24000.0,Defender,Europe,25
205402,J. Boëtius,Jean-Paul Boëtius,Netherlands,1994-03-22,177,73,Right,1. FSV Mainz 05,5,Bundesliga,CAM LW,13000000.0,29000.0,Midfielder,Europe,26
192445,D. Ginczek,Daniel Ginczek,Germany,1991-04-13,190,84,Right,VfL Wolfsburg,33,Bundesliga,ST RW,10500000.0,51000.0,Attacker,Europe,29
200215,S. Rode,Sebastian Rode,Germany,1990-10-11,177,74,Right,Eintracht Frankfurt,17,Bundesliga,CDM CM,9000000.0,35000.0,Midfielder,Europe,29
228941,André Silva,André Miguel Valente da Silva,Portugal,1995-11-06,182,78,Right,Eintracht Frankfurt,33,Bundesliga,ST,14000000.0,35000.0,Attacker,Europe,24
181098,M. Hasebe,長谷 部誠,Japan,1984-01-18,180,72,Right,Eintracht Frankfurt,20,Bundesliga,CB CDM,3100000.0,24000.0,Defender,Asia,36
216452,Gonçalo Paciência,Gonçalo Mendes Paciência,Portugal,1994-08-01,182,78,Right,Eintracht Frankfurt,39,Bundesliga,ST,13500000.0,35000.0,Attacker,Europe,26
189251,S. Rudy,Sebastian Rudy,Germany,1990-02-28,180,73,Right,TSG 1899 Hoffenheim,16,Bundesliga,CM CDM,10000000.0,38000.0,Midfielder,Europe,30
235424,D. Samassékou,Diadie Samassékou,Mali,1996-01-11,177,68,Right,TSG 1899 Hoffenheim,18,Bundesliga,CDM CM,12500000.0,29000.0,Midfielder,Africa,24
194728,I. Belfodil,Ishak Belfodil,Algeria,1992-01-12,193,86,Right,TSG 1899 Hoffenheim,19,Bundesliga,ST,11000000.0,40000.0,Attacker,Africa,28
202201,J. Gouweleeuw,Jeffrey Gouweleeuw,Netherlands,1991-07-10,187,78,Right,FC Augsburg,6,Bundesliga,CB,9500000.0,25000.0,Defender,Europe,29
212187,P. Max,Philipp Max,Germany,1993-09-30,177,77,Left,FC Augsburg,31,Bundesliga,LB LWB LM,11000000.0,24000.0,Defender,Europe,26
195586,A. Finnbogason,Alfreð Finnbogason,Iceland,1989-02-01,182,79,Right,FC Augsburg,27,Bundesliga,ST,10000000.0,30000.0,Attacker,Europe,31
211899,F. Niederlechner,Florian Niederlechner,Germany,1990-10-24,187,86,Right,FC Augsburg,7,Bundesliga,ST,10500000.0,31000.0,Attacker,Europe,29
226166,N. Mukiele,Nordi Mukiele Mulere,France,1997-11-01,187,83,Right,RB Leipzig,22,Bundesliga,CB RB,13500000.0,33000.0,Defender,Europe,22
220651,Angeliño,José Ángel Esmoris Tasende,Spain,1997-01-04,175,68,Left,RB Leipzig,3,Bundesliga,LB,12000000.0,39000.0,Defender,Europe,23
234236,P. Schick,Patrik Schick,Czech Republic,1996-01-24,185,73,Left,RB Leipzig,21,Bundesliga,ST CF RW,14500000.0,48000.0,Attacker,Europe,24
234396,A. Davies,Alphonso Davies,Canada,2000-11-02,180,72,Left,FC Bayern München,19,Bundesliga,LB RM LM,12500000.0,21000.0,Defender,North America,19
218339,M. Dahoud,Mahmoud Dahoud,Germany,1996-01-01,177,68,Right,Borussia Dortmund,8,Bundesliga,CM CDM,11500000.0,54000.0,Midfielder,Europe,24
224196,R. Bensebaini,Ramy Bensebaini,Algeria,1995-04-16,185,82,Left,Borussia Mönchengladbach,25,Bundesliga,LB CB,10000000.0,23000.0,Defender,Africa,25
222357,B. Embolo,Breel-Donald Embolo,Switzerland,1997-02-14,185,86,Right,Borussia Mönchengladbach,36,Bundesliga,ST CAM,12500000.0,27000.0,Attacker,Europe,23
212096,V. Grifo,Vincenzo Grifo,Italy,1993-04-07,180,76,Right,SC Freiburg,32,Bundesliga,LM CF,9500000.0,26000.0,Midfielder,Europe,27
183580,N. Petersen,Nils Petersen,Germany,1988-12-06,187,82,Right,SC Freiburg,18,Bundesliga,ST,8500000.0,28000.0,Attacker,Europe,31
200318,M. Uth,Mark Uth,Germany,1991-08-24,185,72,Left,1. FC Köln,23,Bundesliga,CAM CF ST,9500000.0,29000.0,Midfielder,Europe,29
216466,Wendell,Wendell Nascimento Borges,Brazil,1993-07-20,177,72,Left,Bayer 04 Leverkusen,18,Bundesliga,LB,10000000.0,47000.0,Defender,South America,27
239890,O. Kabak,Ozan Muhammed Kabak,Turkey,2000-03-25,185,86,Right,FC Schalke 04,4,Bundesliga,CB,12000000.0,15000.0,Defender,Asia,20
172862,N. Moisander,Niklas Moisander,Finland,1985-09-29,182,76,Left,SV Werder Bremen,18,Bundesliga,CB,4200000.0,26000.0,Defender,Europe,34
203106,L. Bittencourt,Leonardo Bittencourt,Germany,1993-12-19,170,62,Right,SV Werder Bremen,10,Bundesliga,CAM CM RM,11000000.0,27000.0,Midfielder,Europe,26
205431,N. Füllkrug,Niclas Füllkrug,Germany,1993-02-09,187,83,Right,SV Werder Bremen,11,Bundesliga,ST,10500000.0,31000.0,Attacker,Europe,27
197837,D. Boyata,Anga Dedryck Boyata,Belgium,1990-11-28,187,83,Right,Hertha BSC,20,Bundesliga,CB,8000000.0,27000.0,Defender,Europe,29
201262,V. Darida,Vladimír Darida,Czech Republic,1990-08-08,172,67,Right,Hertha BSC,6,Bundesliga,CM CAM CDM,9000000.0,30000.0,Midfielder,Europe,30
232099,M. Grujić,Marko Grujić,Serbia,1996-04-13,190,86,Right,Hertha BSC,15,Bundesliga,CM CDM,12500000.0,25000.0,Midfielder,Europe,24
236461,J. Mateta,Jean-Philippe Mateta,France,1997-06-28,193,87,Right,1. FSV Mainz 05,9,Bundesliga,ST,12500000.0,27000.0,Attacker,Europe,23
210625,K. Mbabu,Kevin Mbabu,Switzerland,1995-04-19,182,83,Right,VfL Wolfsburg,19,Bundesliga,RB,10500000.0,34000.0,Defender,Europe,25
203030,R. Knoche,Robin Knoche,Germany,1992-05-22,190,77,Right,VfL Wolfsburg,31,Bundesliga,CB,9500000.0,39000.0,Defender,Europe,28
204082,J. Brooks,John Brooks,United States,1993-01-28,193,78,Left,VfL Wolfsburg,25,Bundesliga,CB,10000000.0,39000.0,Defender,North America,27
233195,X. Schlager,Xaver Schlager,Austria,1997-09-28,175,76,Left,VfL Wolfsburg,24,Bundesliga,CM CAM CDM,12500000.0,32000.0,Midfielder,Europe,22
188770,A. Mehmedi,Admir Mehmedi,Switzerland,1991-03-16,182,78,Right,VfL Wolfsburg,14,Bundesliga,CF LW RW,9000000.0,49000.0,Attacker,Europe,29
160741,D. Abraham,David Ángel Abraham,Argentina,1986-07-15,187,83,Right,Eintracht Frankfurt,19,Bundesliga,CB,5500000.0,31000.0,Defender,South America,34
202429,D. da Costa,Danny Vieira da Costa,Germany,1993-07-13,187,84,Right,Eintracht Frankfurt,24,Bundesliga,RWB RM RB,9500000.0,30000.0,Defender,Europe,27
201860,E. Bičakčić,Ermin Bičakčić,Bosnia and Herzegovina,1990-01-24,185,84,Right,TSG 1899 Hoffenheim,4,Bundesliga,CB,7500000.0,33000.0,Defender,Europe,30
137351,D. Baier,Daniel Baier,Germany,1984-05-18,175,78,Right,FC Augsburg,10,Bundesliga,CDM CM,2800000.0,17000.0,Midfielder,Europe,36
204497,K. Stöger,Kevin Stöger,Austria,1993-08-27,175,74,Left,Fortuna Düsseldorf,22,Bundesliga,CAM CM,10500000.0,30000.0,Midfielder,Europe,27
234777,Z. Steffen,Zack Steffen,United States,1995-04-02,190,86,Right,Fortuna Düsseldorf,24,Bundesliga,GK,9000000.0,19000.0,Goalkepper,North America,25
144429,O. Wendt,Oscar Wendt,Sweden,1985-10-24,180,82,Left,Borussia Mönchengladbach,17,Bundesliga,LB,3500000.0,25000.0,Defender,Europe,34
190520,T. Jantschke,Tony Jantschke,Germany,1990-04-07,177,76,Right,Borussia Mönchengladbach,24,Bundesliga,CB RB,6500000.0,26000.0,Defender,Europe,30
207894,T. Strobl,Tobias Strobl,Germany,1990-05-12,187,87,Right,Borussia Mönchengladbach,5,Bundesliga,CDM CB,6500000.0,26000.0,Midfielder,Europe,30
183909,I. Traoré,Ibrahima Traoré,Guinea,1988-04-21,170,60,Left,Borussia Mönchengladbach,16,Bundesliga,RM RW,7000000.0,27000.0,Midfielder,Africa,32
